Property_ID,Neighborhood,Square_Feet,Bedrooms,Condition_Score,Listing_Price,Fair_Market_Value,Renovation_Cost,Total_Investment,Cap_Rate_Pct,ROI_Pct,Action_Recommendation
PROP_0042,Fenway,2127,3,3,1403654.65,1320816.0,95525,1499179.65,4.41,-11.9,Pass
PROP_0043,South End,1645,5,6,1140271.0,1590290.0,15895,1156166.0,6.19,37.55,Buy
PROP_0044,South End,2674,2,1,3155387.09,2237604.0,144660,3300047.09,3.05,-32.19,Pass
PROP_0045,Back Bay,1415,3,3,1880922.91,1854835.0,123744,2004666.91,3.52,-7.47,Pass
PROP_0046,Back Bay,1843,5,9,2410971.83,2494589.0,0,2410971.83,3.93,3.47,Pass
PROP_0047,Cambridge,1660,5,5,1492465.37,1348085.33,26990,1519455.37,4.26,-11.28,Pass
PROP_0048,South End,1299,1,1,947553.76,1104926.0,135314,1082867.76,4.59,2.04,Pass
PROP_0049,Beacon Hill,727,2,10,738919.15,811584.0,0,738919.15,4.39,9.83,Pass
PROP_0050,Beacon Hill,2358,2,6,2545102.94,2459885.0,28070,2573172.94,3.82,-4.4,Pass
PROP_0051,Fenway,754,2,10,484885.0,551846.33,0,484885.0,5.69,13.81,Buy
PROP_0052,Beacon Hill,1384,1,7,1159931.85,1462069.0,26921,1186852.85,4.93,23.19,Buy
PROP_0053,South End,2490,2,8,1780173.37,2071592.0,0,1780173.37,5.24,16.37,Buy
PROP_0054,Cambridge,1124,4,3,870238.58,949411.67,105766,976004.58,4.67,-2.72,Pass
PROP_0055,South End,1766,4,2,1564338.42,1594897.0,60966,1625304.42,4.42,-1.87,Pass
PROP_0056,Dorchester,2582,3,1,1254216.98,1226648.0,120313,1374529.98,5.35,-10.76,Pass
PROP_0057,South End,1437,3,5,1345476.5,1317627.0,25328,1370804.5,4.33,-3.88,Pass
PROP_0058,Cambridge,2911,5,6,2032057.59,2046684.33,10876,2042933.59,4.81,0.18,Pass
PROP_0059,Beacon Hill,1591,4,3,1911047.03,1773093.0,89734,2000781.03,3.54,-11.38,Pass
PROP_0060,Seaport,3303,5,10,2652436.93,3299819.0,0,2652436.93,5.23,24.41,Buy
PROP_0061,Fenway,2574,2,10,1061690.75,1513652.0,0,1061690.75,7.13,42.57,Buy
PROP_0062,Dorchester,716,1,6,277238.4,361140.0,26943,304181.4,7.12,18.73,Buy
PROP_0063,Beacon Hill,1087,5,7,1223929.87,1290343.0,39375,1263304.87,4.09,2.14,Pass
PROP_0064,Fenway,2070,5,3,1381344.67,1363638.0,63284,1444628.67,4.72,-5.61,Pass
PROP_0065,Beacon Hill,3344,5,5,3284753.07,3605389.0,21310,3306063.07,4.36,9.05,Pass
PROP_0066,Dorchester,1608,4,5,707988.42,822324.0,39222,747210.42,6.6,10.05,Buy
PROP_0067,South End,2235,1,5,1828103.17,1844573.0,36646,1864749.17,4.45,-1.08,Pass
PROP_0068,Cambridge,2385,2,10,1531847.13,1640105.0,0,1531847.13,5.14,7.07,Pass
PROP_0069,Seaport,3409,3,1,3356107.33,3291556.33,91975,3448082.33,4.01,-4.54,Pass
PROP_0070,Dorchester,1948,5,2,1067597.51,983811.0,144704,1212301.51,4.87,-18.85,Pass
PROP_0071,Cambridge,1495,3,8,1137964.17,1113220.33,0,1137964.17,4.7,-2.17,Pass
PROP_0072,South End,2531,2,3,1894194.58,2086738.0,143610,2037804.58,4.61,2.4,Pass
PROP_0073,Dorchester,2236,4,1,1504005.79,1142256.0,119449,1623454.79,4.22,-29.64,Pass
PROP_0074,Back Bay,1666,4,8,2011632.76,2169964.0,0,2011632.76,4.1,7.87,Pass
PROP_0075,Seaport,3252,2,10,3197053.92,3100505.0,0,3197053.92,4.07,-3.02,Pass
PROP_0076,Beacon Hill,1017,3,8,1198266.16,1137358.0,0,1198266.16,3.8,-5.08,Pass
PROP_0077,Beacon Hill,1328,5,9,1449010.05,1617084.0,0,1449010.05,4.46,11.6,Pass
PROP_0078,Seaport,1275,2,1,1422096.93,1278756.0,133042,1555138.93,3.45,-17.77,Pass
PROP_0079,Back Bay,2171,2,7,2975405.75,2725840.0,12143,2987548.75,3.47,-8.76,Pass
PROP_0080,Cambridge,2287,5,9,2087649.99,1693244.33,0,2087649.99,3.89,-18.89,Pass
PROP_0081,South End,1472,1,4,1113411.4,1191997.0,96959,1210370.4,4.43,-1.52,Pass
PROP_0082,Beacon Hill,1328,5,4,1687984.98,1594234.0,104098,1792082.98,3.56,-11.04,Pass
PROP_0083,Cambridge,1990,5,4,1520503.57,1549445.33,61130,1581633.57,4.7,-2.04,Pass
PROP_0084,Back Bay,2092,4,5,2581140.1,2720966.0,31545,2612685.1,3.96,4.14,Pass
PROP_0085,Cambridge,1809,2,3,1250113.4,1205048.0,88102,1338215.4,4.32,-9.95,Pass
PROP_0086,Beacon Hill,1332,3,6,1662063.53,1521930.0,11542,1673605.53,3.64,-9.06,Pass
PROP_0087,Fenway,1797,5,10,1454942.33,1208743.0,0,1454942.33,4.15,-16.92,Pass
PROP_0088,South End,2016,2,5,1627893.3,1751658.0,31925,1659818.3,4.75,5.53,Pass
PROP_0089,Fenway,2986,5,6,1882278.95,1818965.33,18691,1900969.95,4.78,-4.31,Pass
PROP_0090,Seaport,2280,1,3,1917170.68,2129324.0,122124,2039294.68,4.39,4.41,Pass
PROP_0091,Cambridge,1805,3,10,1527241.81,1268455.67,0,1527241.81,3.99,-16.94,Pass
PROP_0092,South End,638,3,10,694653.6,696588.0,0,694653.6,4.51,0.28,Pass
PROP_0093,Back Bay,2283,4,9,2819780.17,2947399.0,0,2819780.17,3.97,4.53,Pass
PROP_0094,South End,2558,1,1,2239837.28,2085698.0,73960,2313797.28,4.06,-9.86,Pass
PROP_0095,South End,1423,1,5,1222118.67,1206041.0,30559,1252677.67,4.33,-3.72,Pass
PROP_0096,Back Bay,802,4,9,1277640.64,1134132.0,0,1277640.64,3.37,-11.23,Pass
PROP_0097,Seaport,2694,1,1,2156352.43,2566928.0,118866,2275218.43,4.74,12.82,Pass
PROP_0098,South End,3303,1,5,2605426.64,2649514.0,39703,2645129.64,4.51,0.17,Pass
PROP_0099,Seaport,1745,4,8,2109685.64,1840195.67,0,2109685.64,3.66,-12.77,Pass
PROP_0100,Seaport,3345,4,4,2908325.09,3303921.0,70159,2978484.09,4.66,10.93,Pass
PROP_0101,Seaport,2546,1,1,1929849.88,2414354.67,105284,2035133.88,4.98,18.63,Buy
PROP_0102,Beacon Hill,3108,4,2,3728400.67,3355007.0,115545,3843945.67,3.49,-12.72,Pass
PROP_0103,Dorchester,3471,2,5,1826104.05,1494970.0,11015,1837119.05,4.88,-18.62,Pass
PROP_0104,Seaport,2424,1,1,2061064.64,2270815.0,96540,2157604.64,4.42,5.25,Pass
PROP_0105,Back Bay,2233,1,1,3267436.23,2688302.0,50404,3317840.23,3.08,-18.97,Pass
PROP_0106,Dorchester,3470,4,3,1938988.32,1556384.0,100612,2039600.32,4.58,-23.69,Pass
PROP_0107,Seaport,3324,2,3,3292193.71,3184601.0,63456,3355649.71,3.99,-5.1,Pass
PROP_0108,Back Bay,3104,1,1,3276743.62,3769906.0,87744,3364487.62,4.26,12.05,Pass
PROP_0109,Back Bay,1087,2,8,1250619.43,1390587.0,0,1250619.43,4.23,11.19,Pass
PROP_0110,Fenway,2174,2,2,1509977.99,1267483.67,87131,1597108.99,3.97,-20.64,Pass
PROP_0111,Fenway,2584,4,9,1531096.01,1552418.33,0,1531096.01,5.07,1.39,Pass
PROP_0112,South End,3048,5,7,3139995.87,2678164.0,25781,3165776.87,3.81,-15.4,Pass
PROP_0113,Seaport,1363,2,2,1433789.77,1329082.33,105393,1539182.77,3.63,-13.65,Pass
PROP_0114,Seaport,3445,3,1,3559674.79,3377219.33,147239,3706913.79,3.83,-8.89,Pass
PROP_0115,Dorchester,1958,4,7,1262032.43,1003373.0,29561,1291593.43,4.66,-22.32,Pass
PROP_0116,Back Bay,2728,5,1,4152231.56,3513411.0,69963,4222194.56,3.16,-16.79,Pass
PROP_0117,Seaport,2475,5,6,2546467.33,2602705.0,24388,2570855.33,4.25,1.24,Pass
PROP_0118,South End,2073,5,9,1377853.67,1894986.0,0,1377853.67,6.19,37.53,Buy
PROP_0119,Cambridge,3495,3,8,2644124.47,2325137.0,0,2644124.47,4.22,-12.06,Pass
PROP_0120,Cambridge,1499,4,2,1129882.84,1140606.67,78732,1208614.84,4.53,-5.63,Pass
PROP_0121,Cambridge,3281,3,5,2517392.81,2201920.67,31508,2548900.81,4.15,-13.61,Pass
PROP_0122,Beacon Hill,2089,4,5,2293023.12,2275668.0,16376,2309399.12,3.94,-1.46,Pass
PROP_0123,Back Bay,1123,2,2,1381557.18,1490829.0,141865,1523422.18,3.72,-2.14,Pass
PROP_0124,Cambridge,2436,3,6,1656019.01,1666424.0,20478,1676497.01,4.77,-0.6,Pass
PROP_0125,Beacon Hill,1679,3,1,1555465.43,1798262.0,145257,1700722.43,4.23,5.74,Pass
PROP_0126,Cambridge,3451,1,8,1997041.96,2245032.33,0,1997041.96,5.4,12.42,Pass
PROP_0127,South End,1325,2,7,1237681.16,1138699.0,12125,1249806.16,4.1,-8.89,Pass
PROP_0128,Fenway,964,2,2,642707.96,568754.33,138869,781576.96,3.64,-27.23,Pass
PROP_0129,South End,3386,3,9,3045644.52,2844654.0,0,3045644.52,4.2,-6.6,Pass
PROP_0130,Beacon Hill,2254,5,9,2225267.77,2464267.0,0,2225267.77,4.43,10.74,Pass
PROP_0131,Back Bay,2792,5,4,2979578.15,3556568.0,57561,3037139.15,4.45,17.1,Buy
PROP_0132,Dorchester,666,1,8,361851.07,293134.0,0,361851.07,4.86,-18.99,Pass
PROP_0133,Seaport,3395,3,9,3629334.53,3350115.67,0,3629334.53,3.88,-7.69,Pass
PROP_0134,South End,3260,4,6,2215503.19,2812553.0,13812,2229315.19,5.68,26.16,Buy
PROP_0135,Back Bay,1912,5,5,2746897.12,2521685.0,28117,2775014.12,3.45,-9.13,Pass
PROP_0136,Seaport,2205,4,8,2082092.74,2285149.0,0,2082092.74,4.61,9.75,Pass
PROP_0137,Fenway,3470,1,3,1622178.09,1863712.67,74818,1696996.09,5.49,9.82,Pass
PROP_0138,Fenway,3190,5,6,2214228.79,1977656.33,10117,2224345.79,4.45,-11.09,Pass
PROP_0139,Seaport,2229,3,8,2282495.42,2233841.0,0,2282495.42,4.11,-2.13,Pass
PROP_0140,Fenway,2058,5,4,1204801.32,1395179.0,86976,1291777.32,5.4,8.0,Pass
PROP_0141,Back Bay,2787,1,6,3750766.53,3422877.0,11828,3762594.53,3.46,-9.03,Pass
PROP_0142,South End,2517,3,1,3041890.99,2145854.0,109383,3151273.99,3.06,-31.91,Pass
PROP_0143,Back Bay,609,5,10,772574.27,1018758.0,0,772574.27,5.01,31.87,Buy
PROP_0144,Back Bay,2819,2,5,3127643.9,3438087.0,20568,3148211.9,4.15,9.21,Pass
PROP_0145,Seaport,3432,1,8,3672168.93,3296270.0,0,3672168.93,3.77,-10.24,Pass
PROP_0146,Dorchester,2638,3,5,1144122.26,1248989.0,18567,1162689.26,6.45,7.42,Buy
PROP_0147,Dorchester,1760,2,3,1027861.95,838555.0,55415,1083276.95,4.64,-22.59,Pass
PROP_0148,South End,2455,5,3,2345306.08,2172007.0,136740,2482046.08,3.94,-12.49,Pass
PROP_0149,Seaport,2652,3,10,2870616.07,2599130.0,0,2870616.07,3.8,-9.46,Pass
PROP_0150,Dorchester,3221,4,8,1396396.56,1455384.0,0,1396396.56,6.25,4.22,Buy
PROP_0151,Fenway,2463,3,6,1698297.43,1486940.0,15984,1714281.43,4.34,-13.26,Pass
PROP_0152,Dorchester,1646,1,2,554479.55,677496.0,68381,622860.55,6.53,8.77,Buy
PROP_0153,Fenway,1420,3,3,658415.51,868635.33,91157,749572.51,5.79,15.88,Buy
PROP_0154,South End,2269,3,4,2288325.32,2011846.0,130910,2419235.32,3.74,-16.84,Pass
PROP_0155,Back Bay,2246,5,4,3375015.31,2900608.0,75053,3450068.31,3.19,-15.93,Pass
PROP_0156,Back Bay,1854,3,1,2776173.87,2423523.0,117779,2893952.87,3.18,-16.26,Pass
PROP_0157,Dorchester,3245,2,5,1529493.67,1380265.0,23946,1553439.67,5.33,-11.15,Pass
PROP_0158,Fenway,2465,1,5,1623573.29,1360863.67,37804,1661377.29,4.1,-18.09,Pass
PROP_0159,Beacon Hill,2694,4,2,2657823.11,2847756.0,66478,2724301.11,4.18,4.53,Pass
PROP_0160,Cambridge,3274,3,5,1698534.6,2249216.33,15779,1714313.6,6.3,31.2,Buy
PROP_0161,Beacon Hill,610,2,6,767357.16,736325.0,22999,790356.16,3.73,-6.84,Pass
PROP_0162,Cambridge,2670,2,8,2024746.82,1817077.0,0,2024746.82,4.31,-10.26,Pass
PROP_0163,Beacon Hill,1584,1,8,1693285.37,1640942.0,0,1693285.37,3.88,-3.09,Pass
PROP_0164,Back Bay,1427,3,10,2240879.21,1897851.0,0,2240879.21,3.22,-15.31,Pass
PROP_0165,Seaport,2528,3,9,2756335.69,2503793.67,0,2756335.69,3.82,-9.16,Pass
PROP_0166,Back Bay,3426,1,4,3793664.31,4187789.0,69256,3862920.31,4.12,8.41,Pass
PROP_0167,Cambridge,2454,3,5,1589943.85,1717574.0,21694,1611637.85,5.12,6.57,Pass
PROP_0168,Seaport,1932,1,9,1578254.78,1860745.0,0,1578254.78,4.95,17.9,Buy
PROP_0169,Fenway,2225,3,2,1022541.3,1360175.67,58070,1080611.3,6.29,25.87,Buy
PROP_0170,Dorchester,1074,2,3,481644.79,515968.0,117526,599170.79,5.17,-13.89,Pass
PROP_0171,Beacon Hill,1803,5,1,2116818.74,2090895.0,87148,2203966.74,3.79,-5.13,Pass
PROP_0172,Fenway,662,3,1,411642.91,457823.67,120480,532122.91,4.3,-13.96,Pass
PROP_0173,Fenway,1707,1,4,865880.61,960240.0,102853,968733.61,4.96,-0.88,Pass
PROP_0174,Dorchester,941,4,1,548023.46,547966.0,51759,599782.46,5.48,-8.64,Pass
PROP_0175,Fenway,1589,3,8,994980.22,971908.67,0,994980.22,4.88,-2.32,Pass
PROP_0176,Dorchester,1322,5,8,753034.08,756752.0,0,753034.08,6.03,0.49,Buy
PROP_0177,South End,2665,1,3,2017066.6,2196077.0,98302,2115368.6,4.67,3.82,Pass
PROP_0178,Dorchester,793,4,4,599628.34,505200.0,105168,704796.34,4.3,-28.32,Pass
PROP_0179,Cambridge,654,3,10,408449.99,592823.0,0,408449.99,6.97,45.14,Buy
PROP_0180,Beacon Hill,2081,3,7,2735586.22,2256629.0,17643,2753229.22,3.28,-18.04,Pass
PROP_0181,Seaport,2423,2,8,2441806.13,2396848.67,0,2441806.13,4.12,-1.84,Pass
PROP_0182,Seaport,1432,1,8,1249747.37,1413067.33,0,1249747.37,4.75,13.07,Pass
PROP_0183,Beacon Hill,3408,5,3,3335769.68,3680258.0,74160,3409929.68,4.32,7.93,Pass
PROP_0184,Seaport,1887,2,8,2114790.13,1884706.0,0,2114790.13,3.74,-10.88,Pass
PROP_0185,Dorchester,3461,3,4,1285465.04,1496575.0,104771,1390236.04,6.46,7.65,Buy
PROP_0186,Cambridge,764,5,7,839365.29,770791.67,14425,853790.29,4.33,-9.72,Pass
PROP_0187,South End,1374,1,5,1050257.93,1101398.0,30626,1080883.93,4.59,1.9,Pass
PROP_0188,Cambridge,1514,4,5,1320014.04,1159326.67,32419,1352433.04,4.11,-14.28,Pass
PROP_0189,Seaport,1345,2,7,1361411.02,1400247.33,21382,1382793.02,4.25,1.26,Pass
PROP_0190,South End,995,4,9,1131372.24,960596.0,0,1131372.24,3.82,-15.09,Pass
PROP_0191,Beacon Hill,1676,4,8,1658461.17,1843771.0,0,1658461.17,4.45,11.17,Pass
PROP_0192,South End,1192,2,1,1205221.86,1051885.0,78529,1283750.86,3.69,-18.06,Pass
PROP_0193,Fenway,3173,1,2,1719610.99,1727633.67,149608,1869218.99,4.62,-7.57,Pass
PROP_0194,Back Bay,2381,3,2,3017212.86,3008893.0,124532,3141744.86,3.64,-4.23,Pass
PROP_0195,Fenway,674,2,10,495277.48,470734.67,0,495277.48,4.75,-4.96,Pass
PROP_0196,Beacon Hill,1979,1,6,1965806.46,2010653.0,22875,1988681.46,4.04,1.1,Pass
PROP_0197,Seaport,2222,5,6,2078841.96,2314675.67,38628,2117469.96,4.59,9.31,Pass
PROP_0198,Seaport,2674,1,9,2675880.38,2576915.33,0,2675880.38,4.04,-3.7,Pass
PROP_0199,South End,3468,2,1,3308483.34,2883452.0,85737,3394220.34,3.82,-15.05,Pass
PROP_0200,Dorchester,1301,2,4,575121.01,606797.0,137410,712531.01,5.11,-14.84,Pass
PROP_0201,Cambridge,1393,5,8,1173670.63,1139725.33,0,1173670.63,4.66,-2.89,Pass
PROP_0202,Back Bay,2658,4,6,3815807.02,3430848.0,38769,3854576.02,3.38,-10.99,Pass
PROP_0203,Dorchester,654,5,1,675054.08,550999.0,109129,784183.08,4.22,-29.74,Pass
PROP_0204,Beacon Hill,1350,4,2,1622780.29,1567298.0,97304,1720084.29,3.64,-8.88,Pass
PROP_0205,Cambridge,753,2,9,546866.77,528424.0,0,546866.77,4.64,-3.37,Pass
PROP_0206,Seaport,3360,1,10,4136232.77,3190912.0,0,4136232.77,3.24,-22.85,Pass
PROP_0207,South End,624,3,2,639817.5,644386.0,84020,723837.5,4.01,-10.98,Pass
PROP_0208,Cambridge,707,4,3,735719.97,672952.67,141748,877467.97,3.68,-23.31,Pass
PROP_0209,Seaport,3464,5,10,2640915.06,3454586.67,0,2640915.06,5.49,30.81,Buy
PROP_0210,Dorchester,2120,4,5,1191893.98,999341.0,12421,1204314.98,4.98,-17.02,Pass
PROP_0211,Dorchester,1309,1,9,639241.11,579361.0,0,639241.11,5.44,-9.37,Pass
PROP_0212,Back Bay,1891,3,7,2618316.23,2459800.0,32297,2650613.23,3.53,-7.2,Pass
PROP_0213,Back Bay,849,5,9,1281589.32,1242870.0,0,1281589.32,3.69,-3.02,Pass
PROP_0214,South End,3335,2,4,2743411.44,2759786.0,75510,2818921.44,4.41,-2.1,Pass
PROP_0215,Cambridge,1001,3,1,881908.68,800116.67,139613,1021521.68,3.76,-21.67,Pass
PROP_0216,Back Bay,1782,3,7,1918269.21,2273835.0,33510,1951779.21,4.43,16.5,Buy
PROP_0217,Dorchester,963,1,6,512124.78,429747.0,27304,539428.78,4.78,-20.33,Pass
PROP_0218,Cambridge,3369,1,2,2565499.12,2227923.0,124038,2689537.12,3.98,-17.16,Pass
PROP_0219,Dorchester,1338,2,7,632107.82,651281.0,19996,652103.82,5.99,-0.13,Buy
PROP_0220,Beacon Hill,1897,3,5,1930709.82,2093122.0,39419,1970128.82,4.25,6.24,Pass
PROP_0221,Dorchester,1296,4,9,880696.61,727006.0,0,880696.61,4.95,-17.45,Pass
PROP_0222,South End,865,1,1,886356.05,716574.0,52050,938406.05,3.44,-23.64,Pass
PROP_0223,Fenway,1765,2,2,964840.9,1046952.33,90600,1055440.9,4.96,-0.8,Pass
PROP_0224,Beacon Hill,1031,1,10,960755.54,1121093.0,0,960755.54,4.67,16.69,Buy
PROP_0225,Beacon Hill,2428,5,6,2562715.88,2673028.0,10806,2573521.88,4.15,3.87,Pass
PROP_0226,South End,2063,3,4,1480363.78,1780157.0,112211,1592574.78,5.03,11.78,Pass
PROP_0227,Cambridge,2194,4,6,1713986.45,1621003.33,19076,1733062.45,4.49,-6.47,Pass
PROP_0228,Cambridge,1989,2,1,1244961.46,1349742.0,105554,1350515.46,4.8,-0.06,Pass
PROP_0229,South End,2511,5,6,2056735.27,2259748.0,17214,2073949.27,4.9,8.96,Pass
PROP_0230,Back Bay,1326,1,2,1546067.0,1637800.0,75425,1621492.0,3.84,1.01,Pass
PROP_0231,Beacon Hill,2709,1,3,2252371.15,2733578.0,111413,2363784.15,4.63,15.64,Buy
PROP_0232,Back Bay,1380,5,8,1893202.6,1931758.0,0,1893202.6,3.88,2.04,Pass
PROP_0233,Dorchester,3282,4,9,1824133.52,1560620.0,0,1824133.52,5.13,-14.45,Pass
PROP_0234,Beacon Hill,1818,1,8,1988564.26,1906801.0,0,1988564.26,3.84,-4.11,Pass
PROP_0235,Beacon Hill,2160,5,2,2540107.71,2418762.0,75559,2615666.71,3.7,-7.53,Pass
PROP_0236,Seaport,1574,3,5,1583796.4,1573038.67,37963,1621759.4,4.07,-3.0,Pass
PROP_0237,Fenway,2311,5,5,1334748.68,1474288.33,31452,1366200.68,5.4,7.91,Pass
PROP_0238,Cambridge,1192,2,10,1123158.1,814449.33,0,1123158.1,3.48,-27.49,Pass
PROP_0239,Beacon Hill,1946,2,1,1903065.88,2067719.0,136231,2039296.88,4.06,1.39,Pass
PROP_0240,Cambridge,2983,4,9,2266022.82,2136059.33,0,2266022.82,4.52,-5.74,Pass
PROP_0241,Dorchester,2316,2,6,1176571.61,1062606.0,31179,1207750.61,5.28,-12.02,Pass
PROP_0242,Cambridge,2654,5,7,1917692.86,1929740.67,22713,1940405.86,4.77,-0.55,Pass
PROP_0243,Back Bay,3319,3,7,4507018.35,4160036.0,13998,4521016.35,3.5,-7.98,Pass
PROP_0244,Back Bay,2729,4,2,3051192.84,3473645.0,137263,3188455.84,4.14,8.94,Pass
PROP_0245,Seaport,2148,3,9,2452329.0,2171472.0,0,2452329.0,3.72,-11.45,Pass
PROP_0246,Fenway,2664,2,7,1396776.56,1483787.0,39257,1436033.56,5.17,3.33,Pass
PROP_0247,Dorchester,1856,2,5,767799.32,853646.0,15084,782883.32,6.54,9.04,Buy
PROP_0248,Back Bay,877,4,1,1189614.91,1274995.0,130395,1320009.91,3.67,-3.41,Pass
PROP_0249,South End,1517,1,6,1324684.16,1287209.0,29136,1353820.16,4.28,-4.92,Pass
PROP_0250,Dorchester,621,2,7,343852.9,375319.0,34604,378456.9,5.95,-0.83,Buy
PROP_0251,Cambridge,1506,1,3,1016022.78,961613.0,77082,1093104.78,4.22,-12.03,Pass
PROP_0252,Dorchester,1169,2,7,414370.16,529345.0,13342,427712.16,7.43,23.76,Buy
PROP_0253,Fenway,1486,5,4,716063.14,1068465.33,100975,817038.14,6.54,30.77,Buy
PROP_0254,Back Bay,2310,4,5,3114130.17,2925093.0,38602,3152732.17,3.53,-7.22,Pass
PROP_0255,Dorchester,683,3,5,452550.8,436616.0,15626,468176.8,5.6,-6.74,Buy
PROP_0256,Cambridge,1169,4,1,803796.68,910348.67,132711,936507.68,4.67,-2.79,Pass
PROP_0257,Seaport,2409,4,8,2649143.57,2417039.0,0,2649143.57,3.83,-8.76,Pass
PROP_0258,Seaport,1683,1,7,1961225.73,1576576.0,39020,2000245.73,3.31,-21.18,Pass
PROP_0259,Back Bay,1559,4,10,1272220.11,2026455.0,0,1272220.11,6.05,59.28,Buy
PROP_0260,Seaport,1126,1,6,987290.36,1098770.33,19208,1006498.36,4.59,9.17,Pass
PROP_0261,South End,3373,5,2,3743954.17,2947668.0,104615,3848569.17,3.45,-23.41,Pass
PROP_0262,Fenway,1183,3,2,729097.11,760692.33,76589,805686.11,4.72,-5.58,Pass
PROP_0263,Seaport,1943,2,6,1939361.65,1946775.67,36143,1975504.65,4.14,-1.45,Pass
