SKU_ID,Category,ABC_Class,Unit_Price,Annual_Revenue,Avg_Daily_Sales,Lead_Time_Days,Safety_Stock_Qty,Reorder_Point_Qty,Current_Inventory_Qty,Stock_Status,Inventory_Value
SKU_0022,Toys,A,464.24,3177240.96,18.8,41,50.0,818.0,1749.0,Overstock,487173.456
SKU_0023,Sports,C,205.21,166249.79,2.2,31,3.0,72.0,66.0,Healthy,8126.316
SKU_0024,Electronics,C,166.36,181881.28,3.0,40,11.0,131.0,167.0,Healthy,16669.272
SKU_0025,Electronics,C,444.7,206313.9,1.3,10,3.0,16.0,45.0,Overstock,12006.9
SKU_0026,Apparel,C,34.13,50432.16,4.0,10,10.0,50.0,74.0,Healthy,1515.372
SKU_0027,Apparel,B,76.83,667872.41,23.8,8,54.0,244.0,297.0,Healthy,13691.105999999998
SKU_0028,Home & Garden,C,50.38,252258.36,13.7,26,52.0,408.0,1130.0,Overstock,34157.64
SKU_0029,Sports,A,423.12,3691963.11,23.9,44,26.0,1078.0,142.0,Critical Low,36049.824
SKU_0030,Sports,C,15.2,76696.27,13.8,31,32.0,461.0,11.0,Critical Low,100.32
SKU_0031,Apparel,C,432.21,310025.48,2.0,41,9.0,89.0,183.0,Overstock,47456.657999999996
SKU_0032,Sports,B,231.12,419111.64,5.0,6,5.0,35.0,52.0,Healthy,7210.9439999999995
SKU_0033,Sports,C,11.97,12660.74,2.9,13,6.0,44.0,55.0,Healthy,395.01
SKU_0034,Electronics,A,206.81,2753460.54,36.5,15,80.0,627.0,1539.0,Overstock,190968.35400000002
SKU_0035,Apparel,C,101.53,65129.25,1.8,24,3.0,46.0,101.0,Overstock,6152.718
SKU_0036,Toys,A,315.96,2490361.16,21.6,43,108.0,1036.0,90.0,Critical Low,17061.839999999997
SKU_0037,Apparel,A,342.89,2700208.27,21.6,18,46.0,434.0,79.0,Critical Low,16252.985999999997
SKU_0038,Toys,A,248.89,6031140.2,66.4,30,172.0,2163.0,2895.0,Healthy,432321.92999999993
SKU_0039,Electronics,C,29.85,49247.37,4.5,42,24.0,214.0,252.0,Healthy,4513.320000000001
SKU_0040,Home & Garden,A,331.5,2101834.62,17.4,34,50.0,640.0,407.0,Healthy,80952.3
SKU_0041,Sports,A,422.6,17615738.72,114.2,40,204.0,4772.0,3680.0,Healthy,933100.7999999999
SKU_0042,Electronics,B,362.96,466501.7,3.5,42,11.0,159.0,182.0,Healthy,39635.231999999996
SKU_0043,Sports,C,416.68,178111.69,1.2,39,5.0,51.0,72.0,Healthy,18000.575999999997
SKU_0044,Home & Garden,C,108.25,30586.85,0.8,10,2.0,9.0,1.0,Critical Low,64.95
SKU_0045,Home & Garden,A,445.56,2826282.18,17.4,7,32.0,153.0,184.0,Healthy,49189.82399999999
SKU_0046,Electronics,C,167.87,47256.03,0.8,5,1.0,5.0,0.0,Critical Low,0.0
SKU_0047,Home & Garden,C,16.57,28584.2,4.7,22,7.0,111.0,137.0,Healthy,1362.054
SKU_0048,Toys,A,423.26,1929293.3,12.5,27,48.0,385.0,476.0,Healthy,120883.056
SKU_0049,Home & Garden,A,471.49,1588039.87,9.2,36,42.0,374.0,528.0,Healthy,149368.032
SKU_0050,Sports,A,331.22,1488418.37,12.3,33,21.0,427.0,385.0,Healthy,76511.82
SKU_0051,Sports,B,123.4,434568.25,9.6,27,13.0,273.0,150.0,Healthy,11106.0
SKU_0052,Sports,A,133.35,1668690.06,34.3,40,175.0,1547.0,1851.0,Healthy,148098.50999999998
SKU_0053,Sports,C,238.63,205260.27,2.4,10,6.0,29.0,22.0,Healthy,3149.9159999999997
SKU_0054,Toys,B,449.94,538536.89,3.3,21,11.0,80.0,105.0,Healthy,28346.219999999998
SKU_0055,Apparel,C,83.3,88893.01,2.9,22,10.0,75.0,53.0,Healthy,2648.9399999999996
SKU_0056,Electronics,A,414.73,3029015.59,20.0,35,62.0,762.0,1956.0,Overstock,486727.12799999997
SKU_0057,Sports,B,152.74,1213600.55,21.8,10,41.0,258.0,319.0,Healthy,29234.436
SKU_0058,Home & Garden,A,406.21,1882725.78,12.7,38,41.0,524.0,712.0,Healthy,173532.91199999998
SKU_0059,Sports,A,460.93,5144003.39,30.6,31,34.0,982.0,530.0,Healthy,146575.74
SKU_0060,Home & Garden,C,219.47,143986.23,1.8,40,7.0,79.0,10.0,Critical Low,1316.82
SKU_0061,Home & Garden,A,188.87,3766477.44,54.6,29,147.0,1731.0,1805.0,Healthy,204546.21000000002
SKU_0062,Sports,A,403.09,6762746.87,46.0,14,102.0,745.0,652.0,Healthy,157688.808
SKU_0063,Toys,A,269.45,1756816.68,17.9,43,58.0,826.0,1194.0,Healthy,193033.97999999998
SKU_0064,Home & Garden,A,345.38,7902592.29,62.7,43,201.0,2897.0,519.0,Critical Low,107551.332
SKU_0065,Home & Garden,C,315.19,116437.91,1.0,16,1.0,17.0,17.0,Healthy,3214.9379999999996
SKU_0066,Sports,C,84.92,122053.73,3.9,15,5.0,64.0,86.0,Healthy,4381.871999999999
SKU_0067,Home & Garden,B,423.95,473137.96,3.1,7,2.0,24.0,25.0,Healthy,6359.25
SKU_0068,Home & Garden,B,105.93,679049.43,17.6,26,26.0,483.0,1275.0,Overstock,81036.45
SKU_0069,Sports,C,466.82,357063.34,2.1,8,5.0,22.0,3.0,Critical Low,840.276
SKU_0070,Sports,B,132.78,888761.9,18.3,12,17.0,237.0,202.0,Healthy,16092.936
SKU_0071,Electronics,A,369.6,5162681.14,38.3,18,56.0,744.0,103.0,Critical Low,22841.280000000002
SKU_0072,Toys,B,149.48,928486.47,17.0,24,46.0,455.0,341.0,Healthy,30583.607999999993
SKU_0073,Toys,B,165.71,628233.46,10.4,28,31.0,322.0,473.0,Healthy,47028.498
SKU_0074,Home & Garden,C,161.9,133443.55,2.3,18,3.0,43.0,43.0,Healthy,4177.0199999999995
SKU_0075,Toys,C,376.47,367510.49,2.7,32,10.0,96.0,62.0,Healthy,14004.684000000001
SKU_0076,Home & Garden,A,282.84,3417156.44,33.1,20,101.0,763.0,843.0,Healthy,143060.47199999998
SKU_0077,Electronics,A,442.65,3041581.29,18.8,36,36.0,714.0,1056.0,Healthy,280463.04
SKU_0078,Sports,B,160.61,413358.03,7.1,16,10.0,123.0,183.0,Healthy,17634.978
SKU_0079,Sports,B,349.08,570173.81,4.5,20,16.0,105.0,120.0,Healthy,25133.76
SKU_0080,Sports,C,378.94,89887.89,0.6,23,2.0,17.0,21.0,Healthy,4774.643999999999
SKU_0081,Toys,C,84.23,62842.13,2.0,9,4.0,22.0,58.0,Overstock,2931.204
SKU_0082,Electronics,A,206.29,5514421.53,73.2,16,64.0,1236.0,155.0,Critical Low,19184.969999999998
SKU_0083,Toys,C,246.58,143062.87,1.6,33,4.0,56.0,41.0,Healthy,6065.868
SKU_0084,Toys,B,184.29,623913.17,9.3,9,15.0,98.0,78.0,Healthy,8624.771999999999
SKU_0085,Electronics,A,167.84,1516343.65,24.8,21,33.0,553.0,664.0,Healthy,66867.456
SKU_0086,Electronics,C,346.35,207197.5,1.6,12,3.0,22.0,57.0,Overstock,11845.17
SKU_0087,Electronics,C,115.77,389724.19,9.2,44,34.0,440.0,388.0,Healthy,26951.256
SKU_0088,Electronics,A,357.6,2972206.43,22.8,44,58.0,1059.0,1244.0,Healthy,266912.64
SKU_0089,Sports,A,468.17,1281743.16,7.5,34,30.0,285.0,832.0,Overstock,233710.464
SKU_0090,Apparel,A,286.95,24185837.73,230.9,14,622.0,3855.0,3297.0,Healthy,567644.4899999999
SKU_0091,Apparel,C,309.6,112743.25,1.0,24,2.0,26.0,64.0,Overstock,11888.640000000001
SKU_0092,Electronics,B,43.78,420618.15,26.3,20,85.0,611.0,687.0,Healthy,18046.115999999998
SKU_0093,Apparel,B,433.59,950404.68,6.0,20,6.0,126.0,163.0,Healthy,42405.102
SKU_0094,Apparel,B,149.87,1020665.98,18.7,7,35.0,166.0,169.0,Healthy,15196.818000000001
SKU_0095,Electronics,A,311.38,1426114.45,12.5,27,17.0,356.0,523.0,Healthy,97711.044
SKU_0096,Apparel,B,489.76,548002.72,3.1,26,3.0,83.0,98.0,Healthy,28797.887999999995
SKU_0097,Toys,B,301.8,1071366.21,9.7,32,32.0,344.0,741.0,Overstock,134180.28
SKU_0098,Home & Garden,C,365.11,105937.85,0.8,40,2.0,34.0,32.0,Healthy,7010.112
SKU_0099,Home & Garden,A,228.21,1269388.4,15.2,8,33.0,155.0,428.0,Overstock,58604.328
SKU_0100,Electronics,C,39.58,152663.72,10.6,42,28.0,472.0,677.0,Healthy,16077.395999999999
SKU_0101,Sports,A,400.82,2326350.27,15.9,28,30.0,475.0,465.0,Healthy,111828.77999999998
SKU_0102,Electronics,C,27.15,260666.08,26.3,23,63.0,668.0,1866.0,Overstock,30397.139999999996
SKU_0103,Sports,A,353.32,1481287.11,11.5,15,21.0,193.0,268.0,Healthy,56813.85599999999
SKU_0104,Home & Garden,C,21.23,68397.66,8.8,44,23.0,411.0,207.0,Healthy,2636.7659999999996
SKU_0105,Electronics,B,432.53,405252.67,2.6,44,11.0,124.0,113.0,Healthy,29325.534
SKU_0106,Toys,C,87.24,100098.94,3.1,43,14.0,149.0,84.0,Healthy,4396.896
SKU_0107,Apparel,A,261.99,2935231.28,30.7,22,105.0,780.0,496.0,Healthy,77968.224
SKU_0108,Sports,A,302.6,4574117.53,41.4,16,134.0,796.0,1029.0,Healthy,186825.24000000002
SKU_0109,Apparel,B,234.2,474647.9,5.6,18,8.0,108.0,140.0,Healthy,19672.8
SKU_0110,Apparel,B,176.97,504389.52,7.8,22,23.0,195.0,135.0,Healthy,14334.57
SKU_0111,Electronics,C,239.23,217897.79,2.5,16,4.0,44.0,64.0,Healthy,9186.431999999999
SKU_0112,Apparel,A,162.59,1791314.27,30.2,44,123.0,1451.0,2993.0,Overstock,291979.122
SKU_0113,Toys,A,224.68,1346574.46,16.4,31,44.0,553.0,479.0,Healthy,64573.032
SKU_0114,Apparel,A,185.87,5149404.36,75.9,10,197.0,956.0,1014.0,Healthy,113083.30799999999
SKU_0115,Electronics,C,287.44,270201.99,2.6,28,9.0,81.0,102.0,Healthy,17591.328
SKU_0116,Toys,C,126.58,216898.51,4.7,37,23.0,196.0,28.0,Critical Low,2126.544
SKU_0117,Home & Garden,A,494.44,1760417.81,9.8,20,31.0,226.0,315.0,Healthy,93449.16
SKU_0118,Apparel,A,255.43,1496468.6,16.1,16,49.0,306.0,249.0,Healthy,38161.242
SKU_0119,Electronics,C,105.14,218902.88,5.7,35,24.0,223.0,285.0,Healthy,17978.94
SKU_0120,Home & Garden,C,243.76,230622.92,2.6,41,8.0,114.0,70.0,Healthy,10237.92
SKU_0121,Home & Garden,A,434.54,3374920.22,21.3,17,29.0,391.0,221.0,Healthy,57620.00400000001
SKU_0122,Sports,C,20.69,132545.93,17.6,12,25.0,236.0,550.0,Overstock,6827.7
SKU_0123,Toys,C,342.98,308058.51,2.5,42,3.0,106.0,102.0,Healthy,20990.376
SKU_0124,Apparel,A,278.5,3820385.64,37.6,7,51.0,314.0,168.0,Healthy,28072.8
SKU_0125,Electronics,B,93.08,1022367.79,30.1,24,73.0,796.0,1684.0,Overstock,94048.03199999999
SKU_0126,Sports,A,410.56,1300921.8,8.7,8,13.0,82.0,58.0,Healthy,14287.488
SKU_0127,Toys,B,190.75,566026.75,8.1,6,16.0,65.0,161.0,Overstock,18426.45
SKU_0128,Sports,B,153.96,807322.87,14.4,40,70.0,644.0,1446.0,Overstock,133575.696
SKU_0129,Toys,B,415.78,398719.39,2.6,27,4.0,75.0,79.0,Healthy,19707.971999999998
SKU_0130,Toys,B,322.88,902755.85,7.7,23,15.0,191.0,194.0,Healthy,37583.231999999996
SKU_0131,Apparel,C,450.15,91730.59,0.6,44,2.0,26.0,20.0,Healthy,5401.8
SKU_0132,Toys,A,318.64,2460107.31,21.2,12,30.0,283.0,284.0,Healthy,54296.255999999994
SKU_0133,Sports,C,373.0,154459.26,1.1,20,4.0,26.0,24.0,Healthy,5371.2
SKU_0134,Toys,A,419.86,6878553.02,44.9,22,108.0,1095.0,1165.0,Healthy,293482.14
SKU_0135,Apparel,C,36.82,66826.85,5.0,40,17.0,216.0,300.0,Healthy,6627.599999999999
SKU_0136,Apparel,B,390.26,816449.53,5.7,28,22.0,183.0,225.0,Healthy,52685.1
SKU_0137,Sports,C,310.72,394548.18,3.5,5,5.0,23.0,18.0,Healthy,3355.7760000000003
SKU_0138,Home & Garden,C,44.06,84101.21,5.2,5,3.0,29.0,17.0,Healthy,449.412
SKU_0139,Home & Garden,A,259.2,3835257.78,40.5,40,163.0,1785.0,207.0,Critical Low,32192.639999999996
SKU_0140,Toys,C,50.4,6867.85,0.4,15,1.0,6.0,3.0,Healthy,90.71999999999998
SKU_0141,Electronics,A,370.61,4626990.68,34.2,22,58.0,810.0,706.0,Healthy,156990.396
SKU_0142,Toys,B,277.79,1123968.17,11.1,20,10.0,232.0,150.0,Healthy,25001.1
SKU_0143,Sports,C,477.25,302402.44,1.7,21,4.0,40.0,59.0,Healthy,16894.649999999998
SKU_0144,Sports,C,99.74,74017.18,2.0,28,4.0,61.0,76.0,Healthy,4548.143999999999
SKU_0145,Sports,A,306.96,6188941.8,55.2,38,113.0,2212.0,1518.0,Healthy,279579.16799999995
SKU_0146,Sports,C,113.68,98581.09,2.4,8,4.0,23.0,30.0,Healthy,2046.24
SKU_0147,Sports,C,310.89,210096.41,1.9,39,8.0,80.0,185.0,Overstock,34508.78999999999
SKU_0148,Apparel,A,364.1,3844287.5,28.9,19,41.0,591.0,818.0,Healthy,178700.28000000003
SKU_0149,Home & Garden,A,363.93,1473454.1,11.1,6,5.0,72.0,197.0,Overstock,43016.526000000005
SKU_0150,Sports,C,409.39,358271.29,2.4,35,10.0,94.0,264.0,Overstock,64847.37599999999
SKU_0151,Electronics,A,428.24,1497833.37,9.6,13,6.0,131.0,134.0,Healthy,34430.496
SKU_0152,Electronics,C,47.86,37697.16,2.2,14,6.0,37.0,51.0,Healthy,1464.516
SKU_0153,Electronics,A,178.2,1800895.57,27.7,29,86.0,889.0,1128.0,Healthy,120605.75999999998
SKU_0154,Electronics,A,346.69,3341644.54,26.4,9,30.0,268.0,724.0,Overstock,150602.136
SKU_0155,Apparel,A,254.31,1298665.94,14.0,18,19.0,271.0,256.0,Healthy,39062.015999999996
SKU_0156,Electronics,B,103.43,430540.82,11.4,42,13.0,492.0,520.0,Healthy,32270.160000000003
SKU_0157,Sports,A,280.83,6268604.87,61.2,44,130.0,2821.0,1728.0,Healthy,291164.544
SKU_0158,Toys,B,209.64,565196.8,7.4,6,5.0,49.0,139.0,Overstock,17483.976
SKU_0159,Electronics,C,201.12,131339.91,1.8,22,5.0,44.0,43.0,Healthy,5188.896
SKU_0160,Apparel,A,406.78,1881419.08,12.7,33,20.0,438.0,517.0,Healthy,126183.15599999999
SKU_0161,Apparel,A,209.72,6913193.88,90.3,24,227.0,2395.0,2473.0,Healthy,311182.53599999996
SKU_0162,Electronics,C,22.96,18325.66,2.2,12,4.0,30.0,73.0,Overstock,1005.648
SKU_0163,Toys,C,38.45,67206.66,4.8,41,11.0,207.0,180.0,Healthy,4152.6
SKU_0164,Electronics,A,429.56,1909578.42,12.2,30,13.0,378.0,490.0,Healthy,126290.63999999998
SKU_0165,Apparel,B,480.69,1215229.19,6.9,41,8.0,292.0,304.0,Healthy,87677.856
SKU_0166,Home & Garden,C,347.32,288191.73,2.3,8,1.0,19.0,22.0,Healthy,4584.624
SKU_0167,Sports,A,188.54,1954098.32,28.4,37,113.0,1163.0,217.0,Critical Low,24547.908
SKU_0168,Apparel,A,469.91,20511499.71,119.6,26,229.0,3338.0,4777.0,Healthy,1346856.0420000001
SKU_0169,Electronics,B,334.77,1142477.06,9.3,10,20.0,114.0,106.0,Healthy,21291.371999999996
SKU_0170,Sports,C,423.72,386194.49,2.5,37,7.0,99.0,132.0,Healthy,33558.623999999996
SKU_0171,Electronics,C,385.27,161956.48,1.2,32,3.0,40.0,58.0,Healthy,13407.395999999999
SKU_0172,Electronics,B,195.78,719600.34,10.1,28,27.0,309.0,450.0,Healthy,52860.6
SKU_0173,Home & Garden,A,244.56,2480640.92,27.8,8,50.0,272.0,345.0,Healthy,50623.92
SKU_0174,Sports,B,101.2,482745.27,13.1,6,11.0,89.0,97.0,Healthy,5889.839999999999
SKU_0175,Sports,B,153.09,411686.96,7.4,17,7.0,133.0,139.0,Healthy,12767.706
SKU_0176,Home & Garden,B,391.28,520319.75,3.6,15,8.0,62.0,80.0,Healthy,18781.44
SKU_0177,Apparel,C,448.05,325853.94,2.0,39,5.0,82.0,85.0,Healthy,22850.55
SKU_0178,Electronics,A,364.99,2680347.12,20.1,43,60.0,925.0,2076.0,Overstock,454631.544
SKU_0179,Toys,A,237.94,1921124.59,22.1,14,49.0,359.0,481.0,Healthy,68669.484
SKU_0180,Electronics,C,52.39,22108.75,1.2,14,2.0,18.0,3.0,Critical Low,94.302
SKU_0181,Electronics,B,37.9,688846.56,49.8,12,99.0,697.0,64.0,Critical Low,1455.36
SKU_0182,Apparel,B,193.42,1038870.23,14.7,9,23.0,156.0,30.0,Critical Low,3481.5599999999995
SKU_0183,Electronics,A,237.27,3431886.94,39.6,27,135.0,1204.0,1337.0,Healthy,190337.99399999998
SKU_0184,Home & Garden,C,308.47,166203.09,1.5,38,6.0,62.0,63.0,Healthy,11660.166
SKU_0185,Home & Garden,C,13.18,6902.22,1.4,36,4.0,56.0,40.0,Healthy,316.32
SKU_0186,Sports,B,494.96,1116399.86,6.2,20,17.0,141.0,174.0,Healthy,51673.82399999999
SKU_0187,Toys,B,188.33,928601.24,13.5,8,28.0,136.0,72.0,Healthy,8135.856
SKU_0188,Electronics,A,425.57,9908973.26,63.8,32,162.0,2204.0,2727.0,Healthy,696317.634
SKU_0189,Electronics,A,272.13,1712535.34,17.2,18,32.0,342.0,184.0,Healthy,30043.152
SKU_0190,Apparel,C,73.92,148984.88,5.5,16,15.0,103.0,98.0,Healthy,4346.496
SKU_0191,Home & Garden,C,400.81,315443.42,2.2,25,6.0,60.0,158.0,Overstock,37996.788
SKU_0192,Toys,A,357.82,4222402.68,32.3,20,31.0,677.0,1546.0,Overstock,331913.832
SKU_0193,Sports,C,268.44,227496.92,2.3,6,4.0,18.0,17.0,Healthy,2738.0879999999997
SKU_0194,Home & Garden,A,262.13,4989788.36,52.2,27,50.0,1458.0,1292.0,Healthy,203203.176
SKU_0195,Sports,C,52.87,101354.28,5.3,33,20.0,193.0,154.0,Healthy,4885.187999999999
SKU_0196,Apparel,A,331.37,6027357.82,49.8,13,120.0,767.0,2241.0,Overstock,445560.102
SKU_0197,Apparel,A,456.51,2780734.85,16.7,11,44.0,228.0,190.0,Healthy,52042.13999999999
SKU_0198,Electronics,C,55.69,127427.59,6.3,33,7.0,214.0,314.0,Healthy,10491.996
SKU_0199,Toys,C,139.12,201181.54,4.0,21,10.0,93.0,5.0,Critical Low,417.36
SKU_0200,Sports,B,452.13,809992.0,4.9,13,8.0,72.0,207.0,Overstock,56154.546
SKU_0201,Home & Garden,B,149.33,673353.73,12.4,10,15.0,139.0,321.0,Overstock,28760.958000000002
SKU_0202,Apparel,B,330.43,977630.68,8.1,24,9.0,203.0,228.0,Healthy,45202.824
SKU_0203,Electronics,C,272.06,359816.55,3.6,14,7.0,58.0,53.0,Healthy,8651.508
SKU_0204,Electronics,B,302.2,668124.93,6.1,13,11.0,89.0,130.0,Healthy,23571.6
SKU_0205,Sports,B,213.74,633448.53,8.1,16,8.0,138.0,310.0,Overstock,39755.64000000001
SKU_0206,Apparel,C,157.0,32913.42,0.6,37,2.0,23.0,29.0,Healthy,2731.7999999999997
SKU_0207,Toys,C,33.78,157882.94,12.8,36,50.0,511.0,364.0,Healthy,7377.552
SKU_0208,Apparel,C,374.7,311873.0,2.3,38,9.0,96.0,112.0,Healthy,25179.84
SKU_0209,Sports,C,375.59,253821.21,1.9,23,7.0,49.0,66.0,Healthy,14873.363999999998
SKU_0210,Sports,C,338.66,120579.89,1.0,37,3.0,39.0,110.0,Overstock,22351.56
SKU_0211,Apparel,C,325.38,101948.37,0.9,20,3.0,20.0,57.0,Overstock,11127.996
SKU_0212,Sports,C,129.42,68626.5,1.5,27,6.0,45.0,48.0,Healthy,3727.296
SKU_0213,Apparel,C,20.95,24128.86,3.2,30,6.0,101.0,61.0,Healthy,766.77
SKU_0214,Home & Garden,A,406.27,11419438.83,77.0,41,133.0,3291.0,218.0,Critical Low,53140.116
SKU_0215,Apparel,C,250.66,359665.87,3.9,13,6.0,58.0,56.0,Healthy,8422.176
SKU_0216,Apparel,B,160.35,535288.25,9.1,34,23.0,334.0,947.0,Overstock,91110.86999999998
SKU_0217,Sports,C,59.95,261432.07,11.9,17,27.0,230.0,648.0,Overstock,23308.559999999998
SKU_0218,Sports,C,40.73,128569.95,8.6,20,21.0,194.0,187.0,Healthy,4569.905999999999
SKU_0219,Electronics,B,180.94,444700.64,6.7,6,11.0,51.0,148.0,Overstock,16067.471999999998
SKU_0220,Electronics,C,404.32,259822.6,1.8,35,5.0,67.0,2.0,Critical Low,485.18399999999997
SKU_0221,Home & Garden,A,460.17,7078810.73,42.1,23,47.0,1017.0,1373.0,Healthy,379088.04600000003
SKU_0222,Electronics,A,449.41,10601063.27,64.6,15,183.0,1152.0,169.0,Critical Low,45570.174000000006
SKU_0223,Apparel,C,460.8,164995.24,1.0,18,2.0,19.0,21.0,Healthy,5806.080000000001
SKU_0224,Sports,C,454.79,358932.18,2.2,29,9.0,72.0,59.0,Healthy,16099.565999999999
SKU_0225,Electronics,B,268.34,517301.03,5.3,11,4.0,62.0,73.0,Healthy,11753.292
SKU_0226,Electronics,C,117.51,99608.88,2.3,19,8.0,52.0,6.0,Critical Low,423.036
SKU_0227,Home & Garden,A,401.04,1984989.61,13.6,34,18.0,479.0,1182.0,Overstock,284417.568
SKU_0228,Home & Garden,C,114.72,129115.09,3.1,35,6.0,114.0,158.0,Healthy,10875.455999999998
SKU_0229,Apparel,A,140.93,5107594.24,99.3,28,103.0,2883.0,2096.0,Healthy,177233.568
SKU_0230,Sports,A,124.29,1398919.01,30.8,29,105.0,999.0,125.0,Critical Low,9321.75
SKU_0231,Home & Garden,B,262.34,913129.34,9.5,12,24.0,138.0,162.0,Healthy,25499.447999999997
SKU_0232,Electronics,A,167.7,1551031.23,25.3,34,67.0,928.0,1230.0,Healthy,123762.59999999999
SKU_0233,Sports,B,85.54,869714.81,27.9,40,137.0,1251.0,676.0,Healthy,34695.024
SKU_0234,Sports,C,232.05,318104.32,3.8,18,9.0,76.0,41.0,Healthy,5708.43
SKU_0235,Electronics,B,438.21,443807.1,2.8,33,9.0,101.0,97.0,Healthy,25503.821999999996
SKU_0236,Home & Garden,B,289.57,857751.06,8.1,31,33.0,284.0,242.0,Healthy,42045.564
SKU_0237,Electronics,A,440.38,3340091.61,20.8,40,47.0,879.0,741.0,Healthy,195792.948
SKU_0238,Sports,C,105.98,337727.76,8.7,38,21.0,353.0,255.0,Healthy,16214.94
SKU_0239,Toys,C,91.82,37320.62,1.1,25,4.0,32.0,18.0,Healthy,991.6559999999998
SKU_0240,Toys,C,292.03,300551.42,2.8,42,14.0,132.0,101.0,Healthy,17697.018
SKU_0241,Apparel,B,237.03,584973.33,6.8,15,21.0,123.0,254.0,Overstock,36123.372
SKU_0242,Electronics,B,333.48,821342.35,6.7,37,31.0,281.0,687.0,Overstock,137460.456
SKU_0243,Electronics,A,399.37,11488178.16,78.8,19,86.0,1583.0,1218.0,Healthy,291859.596
SKU_0244,Apparel,C,378.14,193295.97,1.4,16,4.0,26.0,22.0,Healthy,4991.447999999999
SKU_0245,Apparel,A,471.71,2333697.65,13.6,28,31.0,411.0,527.0,Healthy,149154.702
SKU_0246,Apparel,A,205.15,3303698.82,44.1,41,231.0,2040.0,2964.0,Healthy,364838.75999999995
SKU_0247,Sports,A,111.13,4575988.36,112.8,15,208.0,1900.0,2523.0,Healthy,168228.59399999998
SKU_0248,Electronics,B,279.95,464734.45,4.5,23,12.0,116.0,161.0,Healthy,27043.17
SKU_0249,Sports,C,64.26,312579.56,13.3,5,15.0,82.0,42.0,Healthy,1619.352
SKU_0250,Apparel,B,151.54,809716.88,14.6,21,25.0,333.0,45.0,Critical Low,4091.5799999999995
SKU_0251,Electronics,C,111.87,381463.15,9.3,44,13.0,424.0,559.0,Healthy,37521.198
SKU_0252,Sports,B,204.32,489408.11,6.6,20,22.0,153.0,25.0,Critical Low,3064.7999999999997
SKU_0253,Sports,C,64.5,293511.74,12.5,30,47.0,421.0,964.0,Overstock,37306.799999999996
SKU_0254,Apparel,C,25.6,3307.31,0.4,19,0.0,7.0,4.0,Healthy,61.44
SKU_0255,Electronics,A,331.83,2028892.64,16.8,12,39.0,240.0,140.0,Healthy,27873.719999999998
SKU_0256,Apparel,B,309.02,969681.85,8.6,34,29.0,321.0,386.0,Healthy,71569.03199999999
SKU_0257,Electronics,B,357.1,737433.94,5.7,18,10.0,112.0,115.0,Healthy,24639.899999999998
SKU_0258,Toys,A,333.59,10491151.56,86.2,37,174.0,3362.0,1689.0,Healthy,338060.10599999997
SKU_0259,Home & Garden,C,66.0,79197.33,3.3,11,8.0,44.0,111.0,Overstock,4395.599999999999
SKU_0260,Home & Garden,C,152.63,253777.72,4.6,22,13.0,114.0,83.0,Healthy,7600.973999999999
