Client_ID,Age,Annual_Income,Years_Employed,Home_Ownership,Loan_Amount,Loan_Purpose,Interest_Rate,Credit_History_Length_Years,Previous_Defaults,Monthly_Income,Estimated_Monthly_Payment,DTI_Ratio,Default_On_File
CL_00015,56,42800.0,5,MORTGAGE,11863,VENTURE,13.48,23,0,3566.6666666666665,560.9221833333334,0.1572679018691589,0
CL_00016,60,16800.0,14,RENT,34072,MEDICAL,17.64,23,1,1400.0,1670.0958666666668,1.1929256190476192,1
CL_00017,44,45700.0,13,MORTGAGE,3397,PERSONAL,11.61,10,0,3808.3333333333335,157.97465416666668,0.04148130962800876,0
CL_00018,23,34200.0,18,MORTGAGE,16698,DEBT_CONSOLIDATION,17.07,20,1,2850.0,814.514525,0.28579457017543863,1
CL_00019,42,24200.0,12,MORTGAGE,23451,MEDICAL,16.8,23,0,2016.6666666666667,1141.282,0.5659249586776859,1
CL_00020,73,14500.0,13,MORTGAGE,13417,PERSONAL,7.99,29,0,1208.3333333333333,603.7090958333334,0.4996213206896553,1
CL_00021,22,36900.0,2,RENT,33954,VENTURE,11.81,24,0,3075.0,1581.831975,0.5144169024390244,0
CL_00022,44,45000.0,3,RENT,33239,EDUCATION,17.52,8,0,3750.0,1627.6030333333335,0.4340274755555556,1
CL_00023,64,13100.0,13,RENT,2564,VENTURE,17.46,28,0,1091.6666666666667,125.48643333333335,0.11494940458015268,0
CL_00024,50,36700.0,13,OWN,27858,PERSONAL,5.36,28,1,3058.3333333333335,1222.9662,0.39987995640326973,1
CL_00025,58,39100.0,7,MORTGAGE,32845,PERSONAL,8.35,16,0,3258.3333333333335,1482.8148958333331,0.45508385549872116,0
CL_00026,22,26000.0,9,MORTGAGE,18866,EDUCATION,11.36,12,0,2166.6666666666665,875.3824,0.40402264615384614,1
CL_00027,41,45600.0,8,OWN,22266,MEDICAL,5.71,19,0,3800.0,980.724525,0.25808540131578944,1
CL_00028,53,33500.0,13,OWN,24362,EDUCATION,8.91,14,0,2791.6666666666665,1105.5272583333333,0.3960097641791045,0
CL_00029,32,43000.0,7,MORTGAGE,13652,VENTURE,8.87,8,1,3583.3333333333335,619.28885,0.1728247953488372,0
CL_00030,42,50000.0,10,MORTGAGE,14789,DEBT_CONSOLIDATION,8.22,29,0,4166.666666666667,666.8606583333334,0.160046558,0
CL_00031,64,50100.0,9,OWN,13755,MEDICAL,10.95,19,0,4175.0,635.8821875,0.1523071107784431,0
CL_00032,45,66800.0,17,OWN,31667,DEBT_CONSOLIDATION,17.2,29,0,5566.666666666667,1546.4051666666664,0.27779733532934126,0
CL_00033,69,44500.0,3,MORTGAGE,3698,DEBT_CONSOLIDATION,8.66,27,1,3708.3333333333335,167.42695,0.045148840449438205,0
CL_00034,47,27300.0,3,MORTGAGE,27807,MEDICAL,13.73,15,0,2275.0,1317.7042125,0.5792106428571429,0
CL_00035,62,24600.0,11,MORTGAGE,16253,VENTURE,13.36,5,0,2050.0,767.6833666666666,0.37447969105691054,1
CL_00036,48,19200.0,17,RENT,15135,PERSONAL,17.27,17,0,1600.0,739.5339375,0.4622087109375,0
CL_00037,36,39800.0,7,OWN,27604,VENTURE,10.91,28,0,3316.6666666666665,1275.64985,0.3846180452261307,0
CL_00038,35,80200.0,2,MORTGAGE,17655,PERSONAL,8.35,23,0,6683.333333333333,797.0496874999999,0.11925930486284288,0
CL_00039,67,29300.0,17,RENT,16117,PERSONAL,18.37,14,1,2441.6666666666665,794.9038708333333,0.32555789931740614,1
CL_00040,71,47600.0,6,RENT,20336,MEDICAL,17.49,15,1,3966.6666666666665,995.5319333333333,0.25097443697478994,1
CL_00041,64,23100.0,0,OWN,17714,MEDICAL,14.32,26,0,1925.0,843.7768666666666,0.438325645021645,1
CL_00042,72,40800.0,12,MORTGAGE,11859,EDUCATION,6.4,8,0,3400.0,525.749,0.15463205882352943,0
CL_00043,23,77300.0,2,RENT,11738,DEBT_CONSOLIDATION,5.24,4,0,6441.666666666667,514.7113,0.0799034359637775,1
CL_00044,57,54800.0,2,RENT,12663,DEBT_CONSOLIDATION,7.74,7,0,4566.666666666667,568.463175,0.12448098722627736,0
CL_00045,71,14200.0,14,MORTGAGE,2827,DEBT_CONSOLIDATION,7.95,7,0,1183.3333333333333,127.15610416666665,0.10745586267605634,0
CL_00046,27,51100.0,18,RENT,11027,DEBT_CONSOLIDATION,7.04,22,0,4258.333333333333,491.80420000000004,0.11549218003913896,0
CL_00047,41,52600.0,3,MORTGAGE,32843,EDUCATION,8.93,5,0,4383.333333333333,1490.6616625,0.3400749039923954,0
CL_00048,29,40300.0,12,MORTGAGE,25333,PERSONAL,10.07,10,0,3358.3333333333335,1161.8347125,0.3459557456575682,0
CL_00049,59,54200.0,12,MORTGAGE,8184,EDUCATION,16.32,20,1,4516.666666666667,396.6512,0.08781945387453874,1
CL_00050,38,22000.0,14,OWN,25256,MEDICAL,15.64,5,0,1833.3333333333333,1216.9182666666668,0.6637736000000001,0
CL_00051,24,37700.0,18,RENT,19557,VENTURE,6.57,23,0,3141.6666666666665,868.4122875000002,0.2764177042440319,0
CL_00052,45,70700.0,15,RENT,31517,PERSONAL,19.66,24,0,5891.666666666667,1571.3850916666668,0.26671316973125886,0
CL_00053,34,67000.0,6,RENT,1129,PERSONAL,16.28,4,1,5583.333333333333,54.700050000000005,0.009797023880597016,0
CL_00054,70,50500.0,2,RENT,17016,EDUCATION,7.45,21,1,4208.333333333333,761.8204999999999,0.18102665346534652,0
CL_00055,29,21400.0,19,RENT,2558,MEDICAL,6.87,11,0,1783.3333333333333,113.90560833333332,0.06387230373831775,1
CL_00056,46,19500.0,1,MORTGAGE,11453,MEDICAL,6.31,6,1,1625.0,507.3201791666666,0.3121970333333333,0
CL_00057,73,38900.0,17,RENT,20584,PERSONAL,15.98,15,0,3241.6666666666665,994.7217999999999,0.3068550539845758,0
CL_00058,22,40500.0,10,OWN,14835,EDUCATION,8.54,11,0,3375.0,670.912875,0.198789,0
CL_00059,40,34200.0,0,RENT,5693,DEBT_CONSOLIDATION,6.09,25,0,2850.0,251.65432083333334,0.08829976169590643,1
CL_00060,48,22400.0,15,MORTGAGE,26190,PERSONAL,11.33,26,1,1866.6666666666667,1214.8886249999998,0.6508331919642856,1
CL_00061,67,47200.0,16,OWN,33605,DEBT_CONSOLIDATION,15.63,22,0,3933.3333333333335,1619.0608958333332,0.4116256514830508,0
CL_00062,27,38800.0,15,RENT,22646,VENTURE,9.57,7,0,3233.3333333333335,1033.8842583333333,0.3197580180412371,0
CL_00063,64,43200.0,9,MORTGAGE,27957,MEDICAL,12.24,24,0,3600.0,1307.4557000000002,0.36318213888888895,0
CL_00064,28,51800.0,16,MORTGAGE,17324,PERSONAL,7.89,19,0,4316.666666666667,778.7859833333333,0.1804137413127413,0
CL_00065,67,30800.0,2,MORTGAGE,24684,VENTURE,11.44,5,0,2566.6666666666665,1146.1604,0.446556,0
CL_00066,55,27100.0,17,MORTGAGE,11251,DEBT_CONSOLIDATION,10.38,4,0,2258.3333333333335,517.4522416666667,0.22913014391143913,0
CL_00067,34,70600.0,18,RENT,23343,PERSONAL,11.51,1,0,5883.333333333333,1084.5741375,0.18434687889518414,0
CL_00068,37,23100.0,13,MORTGAGE,23407,VENTURE,11.99,16,0,1925.0,1092.2291374999998,0.5673917597402596,1
CL_00069,56,27400.0,1,MORTGAGE,7198,PERSONAL,6.38,12,0,2283.3333333333335,319.05135,0.13973051824817517,0
CL_00070,70,76200.0,11,RENT,31949,VENTURE,6.4,20,0,6350.0,1416.4056666666668,0.22305601049868767,0
CL_00071,60,26200.0,10,OWN,28484,VENTURE,8.91,18,0,2183.3333333333335,1292.5801833333333,0.5920214580152671,0
CL_00072,24,34200.0,16,MORTGAGE,28880,DEBT_CONSOLIDATION,6.74,20,0,2850.0,1284.4379999999999,0.45067999999999997,0
CL_00073,22,28400.0,5,MORTGAGE,11401,MEDICAL,8.79,2,1,2366.6666666666665,516.7978291666667,0.2183652799295775,1
CL_00074,26,12500.0,18,OWN,2899,EDUCATION,5.37,13,0,1041.6666666666667,127.27817916666667,0.122187052,0
CL_00075,74,33700.0,12,MORTGAGE,16138,VENTURE,10.26,12,0,2808.3333333333335,741.4066166666667,0.26400235608308603,0
CL_00076,62,19800.0,6,RENT,14983,MEDICAL,8.2,4,0,1650.0,675.4835833333334,0.40938398989898994,0
CL_00077,24,42300.0,10,MORTGAGE,23706,EDUCATION,18.38,4,0,3525.0,1169.29845,0.33171587234042554,0
CL_00078,74,70500.0,6,MORTGAGE,8375,DEBT_CONSOLIDATION,17.87,13,0,5875.0,411.31718750000005,0.07001143617021277,0
CL_00079,49,9600.0,12,MORTGAGE,21357,PERSONAL,9.51,27,0,800.0,974.5021125,1.218127640625,1
CL_00080,38,28400.0,12,OWN,28528,MEDICAL,12.13,3,0,2366.6666666666665,1332.8519333333334,0.5631768732394367,0
CL_00081,46,47600.0,0,RENT,30223,PERSONAL,19.34,21,0,3966.6666666666665,1502.838675,0.37886689285714287,0
CL_00082,64,9800.0,18,RENT,9031,PERSONAL,12.86,25,0,816.6666666666666,424.682775,0.5200197244897959,1
CL_00083,54,81000.0,18,MORTGAGE,26753,EDUCATION,17.73,17,0,6750.0,1312.3461208333333,0.1944216475308642,0
CL_00084,30,45600.0,14,MORTGAGE,29661,MEDICAL,17.4,7,0,3800.0,1450.9172499999997,0.38182032894736834,0
CL_00085,56,69600.0,13,RENT,12601,VENTURE,19.12,26,0,5800.0,625.4296333333333,0.10783269540229884,0
CL_00086,34,25900.0,2,OWN,19724,EDUCATION,9.59,13,0,2158.3333333333335,900.6471500000001,0.41728825482625487,0
CL_00087,51,27800.0,19,RENT,11675,MEDICAL,5.65,15,0,2316.6666666666665,513.9432291666667,0.22184599820143888,0
CL_00088,68,33000.0,3,RENT,29099,VENTURE,6.56,14,1,2750.0,1291.9956,0.4698165818181818,0
CL_00089,35,131000.0,6,OWN,30455,PERSONAL,13.57,16,0,10916.666666666666,1441.1559791666666,0.13201428816793892,0
CL_00090,28,80100.0,0,RENT,24484,DEBT_CONSOLIDATION,12.95,17,1,6675.0,1152.27825,0.17262595505617978,1
CL_00091,34,39300.0,18,OWN,17784,DEBT_CONSOLIDATION,9.48,26,0,3275.0,811.2468,0.24770894656488548,0
CL_00092,43,42300.0,2,RENT,30022,EDUCATION,8.73,16,0,3525.0,1360.1216916666665,0.3858501252955082,0
CL_00093,60,53200.0,19,RENT,20715,VENTURE,15.64,28,0,4433.333333333333,998.11775,0.22513934210526318,0
CL_00094,41,152500.0,14,MORTGAGE,28441,VENTURE,10.11,16,1,12708.333333333334,1304.8493791666667,0.10267667245901639,1
CL_00095,36,45700.0,12,OWN,18633,DEBT_CONSOLIDATION,14.06,28,0,3808.3333333333335,885.533325,0.23252516192560174,0
CL_00096,65,37300.0,13,MORTGAGE,5226,VENTURE,15.68,1,0,3108.3333333333335,251.8932,0.08103802680965147,0
CL_00097,38,29600.0,6,RENT,23791,MEDICAL,11.46,14,0,2466.6666666666665,1104.8936916666667,0.44792987500000003,1
CL_00098,67,41800.0,0,MORTGAGE,23027,MEDICAL,7.9,2,0,3483.3333333333335,1035.2555416666667,0.29720254784688993,0
CL_00099,73,25500.0,12,RENT,24361,DEBT_CONSOLIDATION,17.91,26,0,2125.0,1196.8356291666666,0.5632167666666666,0
CL_00100,44,48900.0,3,OWN,7161,PERSONAL,6.4,22,0,4075.0,317.471,0.07790699386503068,0
CL_00101,46,15400.0,11,RENT,32929,PERSONAL,17.44,27,0,1283.3333333333333,1611.3257333333331,1.2555784935064933,1
CL_00102,45,31100.0,6,OWN,10677,PERSONAL,17.55,9,0,2591.6666666666665,522.9505625,0.20178156752411577,0
CL_00103,65,56400.0,1,MORTGAGE,2628,DEBT_CONSOLIDATION,13.56,19,0,4700.0,124.3482,0.026457063829787235,0
CL_00104,61,45300.0,16,MORTGAGE,8980,EDUCATION,14.44,5,0,3775.0,428.19633333333337,0.1134294922737307,0
CL_00105,49,27500.0,0,MORTGAGE,32374,VENTURE,10.37,24,0,2291.6666666666665,1488.799325,0.6496578872727273,1
CL_00106,35,31600.0,13,RENT,12875,MEDICAL,17.62,10,0,2633.3333333333335,630.9822916666668,0.2396135284810127,0
CL_00107,65,67600.0,0,OWN,23980,MEDICAL,8.96,6,0,5633.333333333333,1088.6919999999998,0.19325893491124257,0
CL_00108,21,17600.0,2,RENT,19882,EDUCATION,13.4,3,0,1466.6666666666667,939.4245,0.6405167045454545,1
CL_00109,45,17600.0,10,RENT,11301,VENTURE,5.03,2,0,1466.6666666666667,494.5600125,0.3372000085227273,0
CL_00110,27,20800.0,6,MORTGAGE,1595,PERSONAL,19.1,29,0,1733.3333333333333,79.151875,0.04566454326923077,0
CL_00111,29,36100.0,8,OWN,18323,MEDICAL,19.22,19,0,3008.3333333333335,910.195025,0.3025579030470914,0
CL_00112,44,16100.0,2,RENT,22798,PERSONAL,15.66,6,0,1341.6666666666667,1098.6736166666667,0.8188871677018633,1
CL_00113,21,64300.0,0,MORTGAGE,27670,PERSONAL,11.35,21,1,5358.333333333333,1283.7727083333332,0.23958433125972003,0
CL_00114,64,20900.0,18,MORTGAGE,10589,DEBT_CONSOLIDATION,7.68,24,0,1741.6666666666667,475.0931333333333,0.2727807464114832,0
CL_00115,28,41500.0,1,RENT,16097,DEBT_CONSOLIDATION,12.39,10,0,3458.3333333333335,753.8090958333332,0.21796889518072285,0
CL_00116,44,25700.0,4,RENT,7381,VENTURE,16.87,18,0,2141.6666666666665,359.4239458333334,0.1678244105058366,0
CL_00117,31,34900.0,16,MORTGAGE,26371,MEDICAL,14.08,14,0,2908.3333333333335,1253.5015333333333,0.43100339255014325,0
CL_00118,71,13900.0,18,RENT,31588,DEBT_CONSOLIDATION,12.91,28,0,1158.3333333333333,1486.0837833333333,1.2829500287769784,1
CL_00119,37,66200.0,4,MORTGAGE,3917,VENTURE,17.74,2,0,5516.666666666667,192.16149166666665,0.03483289879154078,0
CL_00120,28,20400.0,13,MORTGAGE,28115,EDUCATION,9.7,4,1,1700.0,1285.0897916666665,0.7559351715686273,1
CL_00121,55,19200.0,9,OWN,5353,PERSONAL,17.9,29,0,1600.0,262.966125,0.164353828125,0
CL_00122,55,151400.0,6,RENT,11626,MEDICAL,11.59,15,0,12616.666666666666,540.5605583333332,0.04284495838837516,0
CL_00123,53,50600.0,7,MORTGAGE,5365,MEDICAL,5.04,25,0,4216.666666666667,234.80816666666666,0.055685731225296436,0
CL_00124,25,64700.0,7,RENT,27576,VENTURE,15.98,21,0,5391.666666666667,1332.6101999999998,0.24716108809891804,0
CL_00125,62,47800.0,6,MORTGAGE,20502,DEBT_CONSOLIDATION,18.17,23,0,3983.3333333333335,1009.467225,0.2534227343096234,0
CL_00126,59,27700.0,12,OWN,24133,PERSONAL,12.27,23,0,2308.3333333333335,1128.9216291666667,0.48906352166064976,0
CL_00127,61,16600.0,13,RENT,10145,PERSONAL,11.82,6,0,1383.3333333333333,472.6724583333334,0.3416909337349398,0
CL_00128,48,30400.0,18,MORTGAGE,27301,MEDICAL,17.08,28,0,2533.3333333333335,1331.8337833333333,0.5257238618421052,0
CL_00129,27,20200.0,10,MORTGAGE,19125,MEDICAL,18.27,6,0,1683.3333333333333,942.4640625000001,0.5598796410891089,0
CL_00130,29,20900.0,1,MORTGAGE,3458,PERSONAL,19.62,9,0,1741.6666666666667,172.35248333333334,0.09895836363636364,0
CL_00131,28,14000.0,16,MORTGAGE,28468,EDUCATION,10.18,20,0,1166.6666666666667,1306.9184333333333,1.1202157999999998,0
CL_00132,32,38900.0,5,RENT,8063,VENTURE,13.92,18,0,3241.6666666666665,382.7237333333333,0.1180638766066838,0
CL_00133,54,93300.0,8,MORTGAGE,7003,EDUCATION,17.34,23,0,7775.0,342.3883416666667,0.0440370857449089,0
CL_00134,53,50800.0,18,RENT,12024,DEBT_CONSOLIDATION,12.98,22,0,4233.333333333333,566.0297999999999,0.13370782677165352,0
CL_00135,68,34100.0,4,MORTGAGE,18173,EDUCATION,11.93,4,0,2841.6666666666665,847.5432875,0.2982557023460411,0
CL_00136,43,35400.0,8,MORTGAGE,7458,EDUCATION,13.58,1,0,2950.0,352.94984999999997,0.11964401694915253,0
CL_00137,44,5800.0,6,OWN,18705,DEBT_CONSOLIDATION,10.35,4,0,483.3333333333333,860.0403124999999,1.7793937499999999,1
CL_00138,57,28200.0,3,RENT,3109,VENTURE,7.88,22,0,2350.0,139.74955,0.059467893617021275,0
CL_00139,55,15400.0,17,MORTGAGE,14365,PERSONAL,6.0,27,0,1283.3333333333333,634.4541666666668,0.4943798701298702,1
CL_00140,64,39400.0,17,MORTGAGE,16212,EDUCATION,14.15,3,1,3283.3333333333335,771.08325,0.23484769035532996,1
CL_00141,60,31100.0,19,RENT,30145,VENTURE,10.69,13,1,2591.6666666666665,1390.3125208333333,0.5364549919614148,1
CL_00142,42,21600.0,16,MORTGAGE,13399,DEBT_CONSOLIDATION,18.24,15,0,1800.0,660.1240666666666,0.3667355925925926,0
CL_00143,47,38800.0,3,RENT,6085,VENTURE,8.34,29,0,3233.3333333333335,274.68704166666663,0.08495475515463916,0
CL_00144,55,38600.0,15,RENT,24820,EDUCATION,9.66,1,0,3216.6666666666665,1134.0671666666667,0.35255974093264253,0
CL_00145,21,90300.0,4,RENT,15659,PERSONAL,19.56,28,1,7525.0,780.0791833333333,0.10366500775193797,1
CL_00146,55,54800.0,8,RENT,34386,DEBT_CONSOLIDATION,13.34,16,0,4566.666666666667,1623.87885,0.35559390875912406,0
CL_00147,57,41400.0,1,OWN,22274,DEBT_CONSOLIDATION,10.2,2,0,3450.0,1022.7478333333333,0.2964486473429952,1
CL_00148,67,20600.0,1,RENT,10074,EDUCATION,17.91,6,0,1716.6666666666667,494.92722499999996,0.28830712135922326,0
CL_00149,34,19100.0,3,OWN,2703,VENTURE,16.15,1,0,1591.6666666666667,130.81393749999998,0.08218676701570679,0
CL_00150,23,52000.0,19,RENT,11987,PERSONAL,13.6,22,0,4333.333333333333,567.3846666666667,0.1309349230769231,0
CL_00151,21,32200.0,19,MORTGAGE,30780,DEBT_CONSOLIDATION,18.34,17,0,2683.3333333333335,1517.7105000000001,0.565606397515528,0
CL_00152,25,42200.0,16,MORTGAGE,26083,EDUCATION,6.41,17,0,3516.6666666666665,1156.4550125,0.3288497665876778,0
CL_00153,46,65300.0,19,OWN,23755,EDUCATION,10.92,22,0,5441.666666666667,1097.8769166666666,0.201753797856049,0
CL_00154,34,14600.0,18,MORTGAGE,11227,MEDICAL,17.16,29,0,1216.6666666666667,548.0647166666666,0.45046415068493145,1
CL_00155,59,84000.0,2,OWN,8148,MEDICAL,10.79,1,0,7000.0,376.13204999999994,0.05373314999999999,0
CL_00156,47,65000.0,4,MORTGAGE,31900,VENTURE,18.9,16,0,5416.666666666667,1580.3791666666666,0.29176230769230765,0
CL_00157,29,10600.0,9,RENT,12771,EDUCATION,7.29,28,1,883.3333333333334,570.9169125,0.6463210330188679,1
CL_00158,35,149000.0,5,OWN,3385,VENTURE,10.05,9,1,12416.666666666666,155.21635416666666,0.012500645973154362,1
CL_00159,35,44000.0,2,OWN,1925,VENTURE,11.39,2,0,3666.6666666666665,89.3440625,0.024366562500000005,0
CL_00160,46,27300.0,16,RENT,33996,PERSONAL,15.3,25,0,2275.0,1633.2245,0.7179008791208792,0
CL_00161,62,49600.0,9,OWN,16389,MEDICAL,7.93,21,0,4133.333333333333,737.0269874999999,0.1783129808467742,0
CL_00162,33,20200.0,11,MORTGAGE,27997,VENTURE,5.15,5,0,1683.3333333333333,1226.6185625,0.7286842945544555,0
CL_00163,71,50400.0,0,OWN,30488,PERSONAL,19.65,26,0,4200.0,1519.9538333333333,0.3618937698412698,0
CL_00164,52,22600.0,17,OWN,23975,PERSONAL,18.48,8,0,1883.3333333333333,1183.5658333333333,0.6284420353982301,1
CL_00165,59,122100.0,18,OWN,7575,MEDICAL,9.5,1,0,10175.0,345.609375,0.03396652334152334,0
CL_00166,69,37600.0,19,OWN,28728,MEDICAL,12.25,9,0,3133.3333333333335,1343.6325,0.42881888297872334,0
CL_00167,72,53600.0,3,RENT,26809,EDUCATION,12.33,14,0,4466.666666666667,1254.7729041666666,0.28091930690298506,0
CL_00168,52,22700.0,14,RENT,3596,VENTURE,18.04,17,1,1891.6666666666667,176.8632666666667,0.09349600000000001,1
CL_00169,24,59300.0,8,RENT,8221,PERSONAL,13.96,5,0,4941.666666666667,390.3604833333333,0.07899368971332209,0
CL_00170,50,36000.0,5,RENT,26429,EDUCATION,17.4,8,0,3000.0,1292.8185833333332,0.4309395277777777,0
CL_00171,57,15600.0,11,RENT,18507,VENTURE,18.68,17,0,1300.0,915.1711500000001,0.7039778076923078,1
CL_00172,43,31500.0,17,MORTGAGE,21358,VENTURE,13.49,21,0,2625.0,1009.9664250000001,0.3847491142857143,0
CL_00173,59,115700.0,14,RENT,15933,EDUCATION,9.28,29,0,9641.666666666666,725.4825999999999,0.075244522039758,0
CL_00174,65,60800.0,18,MORTGAGE,11653,PERSONAL,12.48,12,0,5066.666666666667,546.1372666666667,0.10779025,0
CL_00175,35,28900.0,8,OWN,16300,EDUCATION,17.76,19,0,2408.3333333333335,799.7866666666667,0.33209134948096886,0
CL_00176,63,11800.0,12,MORTGAGE,30232,VENTURE,13.75,8,0,983.3333333333334,1432.8708333333334,1.457156779661017,1
CL_00177,49,22000.0,15,MORTGAGE,10848,EDUCATION,18.44,29,0,1833.3333333333333,535.3488000000001,0.29200843636363644,0
CL_00178,56,15600.0,12,RENT,4110,EDUCATION,18.43,19,0,1300.0,202.811375,0.15600875,0
CL_00179,33,12000.0,0,RENT,20813,VENTURE,10.6,12,1,1000.0,959.1324166666668,0.9591324166666668,1
CL_00180,52,58200.0,17,MORTGAGE,8176,MEDICAL,11.72,8,0,4850.0,380.59279999999995,0.07847274226804123,0
CL_00181,27,37700.0,2,MORTGAGE,9379,PERSONAL,15.17,11,1,3141.6666666666665,450.07476249999996,0.14325987135278515,1
CL_00182,71,106600.0,16,MORTGAGE,7788,VENTURE,6.67,11,0,8883.333333333334,346.14415,0.038965570356472794,0
CL_00183,42,20000.0,4,MORTGAGE,7282,MEDICAL,11.98,15,0,1666.6666666666667,339.7659833333333,0.20385958999999995,0
CL_00184,48,36300.0,5,RENT,6375,EDUCATION,7.24,2,0,3025.0,284.85625,0.09416735537190082,0
CL_00185,22,15700.0,16,RENT,33403,MEDICAL,17.72,26,1,1308.3333333333333,1638.41715,1.252293363057325,1
CL_00186,62,25400.0,16,MORTGAGE,19610,VENTURE,19.14,3,0,2116.6666666666665,973.4730833333333,0.45990854330708664,1
CL_00187,65,31800.0,0,RENT,2340,VENTURE,7.12,29,1,2650.0,104.442,0.03941207547169811,1
CL_00188,73,29000.0,6,MORTGAGE,8983,EDUCATION,15.01,1,0,2416.6666666666665,430.4728458333334,0.17812669482758625,0
CL_00189,26,37500.0,15,OWN,33088,VENTURE,14.55,1,0,3125.0,1579.2626666666665,0.5053640533333333,0
CL_00190,48,65100.0,4,RENT,28360,DEBT_CONSOLIDATION,16.4,4,0,5425.0,1375.46,0.2535410138248848,0
CL_00191,48,61100.0,15,MORTGAGE,9527,MEDICAL,15.44,21,0,5091.666666666667,458.24869999999993,0.08999974468085105,0
CL_00192,64,22900.0,3,MORTGAGE,26379,DEBT_CONSOLIDATION,8.26,19,0,1908.3333333333333,1189.912725,0.6235350524017467,0
CL_00193,64,35700.0,10,MORTGAGE,9554,DEBT_CONSOLIDATION,9.37,18,0,2975.0,435.3837416666666,0.14634747619047617,0
CL_00194,40,58500.0,13,RENT,7333,MEDICAL,7.48,1,0,4875.0,328.39618333333334,0.06736331965811966,0
CL_00195,50,67600.0,12,OWN,19405,VENTURE,18.82,19,0,5633.333333333333,960.7092083333332,0.17054009615384613,0
CL_00196,31,24400.0,7,RENT,3569,MEDICAL,12.83,1,0,2033.3333333333333,167.7876125,0.08251849795081967,0
CL_00197,48,55500.0,19,MORTGAGE,24765,EDUCATION,19.64,26,1,4625.0,1234.5352500000001,0.26692654054054055,0
CL_00198,45,44300.0,14,MORTGAGE,28606,DEBT_CONSOLIDATION,11.74,10,0,3691.6666666666665,1331.8476833333332,0.36077138148984195,0
CL_00199,59,19200.0,17,RENT,12578,DEBT_CONSOLIDATION,13.29,22,0,1600.0,593.7340083333333,0.37108375520833337,1
CL_00200,53,58700.0,6,RENT,31202,VENTURE,16.84,13,0,4891.666666666667,1519.017366666667,0.3105316592844975,0
CL_00201,21,39800.0,18,RENT,15427,MEDICAL,16.96,27,0,3316.6666666666665,751.8091333333333,0.2266761206030151,0
CL_00202,47,12800.0,8,MORTGAGE,25381,PERSONAL,8.47,19,0,1066.6666666666667,1147.1154458333333,1.07542073046875,1
CL_00203,72,30400.0,10,RENT,19469,VENTURE,9.32,28,0,2533.3333333333335,886.81295,0.3500577434210526,0
CL_00204,33,37200.0,9,OWN,20095,VENTURE,6.47,20,0,3100.0,891.4644374999999,0.28756917338709675,0
CL_00205,61,25200.0,13,RENT,32210,VENTURE,17.08,8,0,2100.0,1571.3111666666666,0.7482434126984127,0
CL_00206,23,75900.0,15,OWN,6802,MEDICAL,16.91,26,1,6325.0,331.342425,0.05238615415019763,0
CL_00207,59,77600.0,7,OWN,12841,VENTURE,6.22,5,0,6466.666666666667,568.3212583333333,0.08788473067010308,0
CL_00208,26,28900.0,0,MORTGAGE,16169,EDUCATION,8.86,11,1,2408.3333333333335,733.3988916666667,0.304525491349481,0
CL_00209,28,27000.0,11,MORTGAGE,19921,EDUCATION,11.75,21,0,2250.0,927.5715624999999,0.41225402777777775,1
